net,length_um
clknet_0_clk,149.24µm
net72,134.88µm
net70,129µm
net80,113.9µm
net71,112.14µm
net69,94.92µm
net78,68.15µm
net79,65.46µm
net74,60.75µm
net76,59.81µm
net28,55.64µm
rx_data[17],53.32µm
clknet_3_0__leaf_clk,53.3µm
net77,53.2µm
clk,51.31µm
_042_,48.5µm
tx_data[22],48.45µm
clknet_3_6__leaf_clk,48.44µm
net36,48.42µm
tx_data[25],47.63µm
tx_data[4],47.55µm
rx_data[26],45.59µm
clknet_3_3__leaf_clk,43.82µm
net43,43.26µm
net103,42.98µm
rx_data[24],42.39µm
clknet_3_5__leaf_clk,41.76µm
tx_data[6],41.43µm
tx_data[23],40.44µm
clknet_3_1__leaf_clk,39.18µm
rx_data[31],39.02µm
net16,38.98µm
tx_data[12],38.47µm
net60,37.6µm
net19,37.48µm
net59,37.41µm
clknet_3_4__leaf_clk,36.19µm
tx_data[13],35.68µm
rx_data[21],35.38µm
net63,35.36µm
net5,34.78µm
net38,34.6µm
net37,34.1µm
rx_data[29],33.84µm
net53,33.56µm
net110,33.52µm
rx_data[3],33.43µm
tx_data[10],31.85µm
rx_data[16],30.94µm
rx_data[13],30.86µm
tx_data[24],30.85µm
tx_data[29],30.46µm
rx_data[15],30.2µm
rx_data[25],30.03µm
net54,29.64µm
rx_data[2],28.9µm
net6,28.72µm
tx_data[0],28.67µm
net96,28.5µm
rx_data[8],28.46µm
tx_data[3],28.03µm
clknet_3_2__leaf_clk,27.6µm
tx_data[2],27.32µm
credit_count\[0\],26.98µm
state,26.94µm
tx_data[20],26.72µm
rx_data[6],26.7µm
rx_data[10],26.57µm
tx_data[1],26.45µm
rx_data[12],26.43µm
tx_data[27],26.125µm
net3,26.12µm
net57,26.02µm
net52,25.96µm
rx_data[0],25.74µm
net51,24.92µm
tx_data[19],24.89µm
net101,24.88µm
tx_data[31],24.58µm
rx_data[11],24.505µm
rx_data[30],24.42µm
tx_data[30],24.28µm
tx_data[9],24.18µm
rx_data[22],24.13µm
tx_data[18],23.91µm
rx_data[14],23.625µm
_046_,23.2µm
rx_data[5],23.17µm
clknet_3_7__leaf_clk,23.12µm
net62,23.06µm
rx_data[23],23.02µm
net40,22.92µm
net21,22.74µm
net17,22.28µm
rx_data[18],22.09µm
rx_data[19],22.03µm
credit_count\[2\],21.68µm
net75,21.45µm
tx_data[21],21.42µm
rx_data[4],21.19µm
net111,20.98µm
tx_data[14],20.965µm
credit_count\[3\],20.8µm
rx_data[7],20.425µm
net108,20.24µm
net12,19.96µm
net44,19.86µm
rx_data[9],19.845µm
net66,19.54µm
net105,19.4µm
net42,19.1µm
net64,19.02µm
tx_data[15],18.96µm
rx_data[1],18.91µm
tx_data[7],18.785µm
tx_data[28],18.6µm
net83,18.48µm
net18,18.32µm
tx_data[26],18.23µm
net11,18.18µm
rx_data[27],18.025µm
_039_,17.78µm
net73,17.55µm
_040_,16.82µm
net24,16.5µm
rx_data[28],16.24µm
net49,16.09µm
tx_data[11],15.665µm
net31,15.54µm
rx_valid,15.165µm
net26,14.92µm
net58,14.74µm
tx_data[16],14.74µm
net25,14.14µm
net98,13.88µm
tx_data[17],13.7µm
net39,13.62µm
net67,13.34µm
net86,13.28µm
net46,13.16µm
credit_count\[1\],13.04µm
rx_data[20],13.02µm
rst_n,13.005µm
net13,12.9µm
net30,12.84µm
net29,12.76µm
_043_,12.58µm
net27,12.52µm
net50,12.38µm
tx_data[8],12.32µm
_051_,12.3µm
tx_data[5],12.29µm
net48,12.16µm
net47,12.12µm
net61,12.04µm
tx_ready,11.645µm
tx_valid,11.305µm
net41,11.28µm
net23,11.04µm
net14,11.02µm
_003_,10.84µm
net99,10.6µm
_044_,10.46µm
net32,10.18µm
net107,10.1µm
net4,9.9µm
net94,9.78µm
net7,9.76µm
_017_,9.6µm
net55,9.48µm
net68,9.48µm
net65,9.46µm
net35,9.32µm
net45,8.98µm
net82,8.94µm
_048_,8.92µm
net56,8.4µm
net2,8.34µm
_008_,8.18µm
_035_,8.18µm
_047_,8.12µm
net92,7.42µm
_029_,7.34µm
_050_,7.18µm
_007_,7.16µm
_024_,6.98µm
net9,6.88µm
_014_,6.76µm
_000_,6.72µm
net85,6.4µm
_002_,6.3µm
_018_,6.02µm
net114,5.98µm
net95,5.72µm
_041_,5.52µm
_006_,5.5µm
net81,5.5µm
_028_,5.46µm
_038_,5.36µm
net8,5.06µm
net22,5.06µm
net33,5.06µm
_032_,4.92µm
net1,4.92µm
_034_,4.76µm
_009_,4.46µm
net89,4.44µm
net113,4.24µm
net34,4.14µm
net88,3.68µm
net100,3.68µm
net109,3.68µm
_013_,3.64µm
_031_,3.54µm
_033_,3.54µm
net15,3.54µm
net97,3.42µm
net20,3.32µm
net102,3.22µm
_001_,3.08µm
_012_,3.08µm
_020_,3.08µm
_026_,3.08µm
_036_,3.08µm
net106,2.86µm
net84,2.76µm
net112,2.76µm
_015_,2.74µm
net87,2.64µm
_004_,2.62µm
_005_,2.62µm
_019_,2.62µm
_027_,2.62µm
_030_,2.62µm
_037_,2.5µm
_049_,2.5µm
_016_,2.38µm
net90,2.3µm
net93,2.3µm
_010_,2.28µm
_021_,2.28µm
_022_,2.28µm
_023_,2.28µm
_025_,2.28µm
net10,2.16µm
_052_,2.06µm
_045_,1.84µm
_011_,1.82µm
net91,1.48µm
net104,1.48µm
_053_,0.92µm
