Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_22_124,VGND,li1,63.0200,70.7200,0.000269
FILLER_22_113,VGND,li1,58.1900,70.7200,0.000266
FILLER_22_111,VGND,li1,56.8100,70.7200,0.000266
FILLER_22_57,VGND,li1,32.4300,70.7200,0.000169
FILLER_22_53,VGND,li1,30.5900,70.7200,0.000156
FILLER_22_50,VGND,li1,29.2100,70.7200,0.000156
FILLER_22_32,VGND,li1,20.4700,70.7200,0.000148
FILLER_22_29,VGND,li1,19.5500,70.7200,0.000153
FILLER_22_27,VGND,li1,18.1700,70.7200,0.000153
FILLER_21_131,VGND,li1,66.4700,70.7200,0.000270
FILLER_21_128,VGND,li1,65.0900,70.7200,0.000270
FILLER_21_116,VGND,li1,59.5700,70.7200,0.000268
FILLER_21_113,VGND,li1,58.1900,70.7200,0.000266
FILLER_21_111,VGND,li1,56.8100,70.7200,0.000266
FILLER_21_108,VGND,li1,55.8900,70.7200,0.000264
FILLER_21_105,VGND,li1,54.5100,70.7200,0.000264
FILLER_21_87,VGND,li1,45.7700,70.7200,0.000237
FILLER_21_84,VGND,li1,44.8500,70.7200,0.000237
FILLER_21_73,VGND,li1,39.5600,70.7200,0.000213
FILLER_21_63,VGND,li1,34.7300,70.7200,0.000182
FILLER_21_60,VGND,li1,33.8100,70.7200,0.000182
FILLER_21_57,VGND,li1,32.4300,70.7200,0.000169
FILLER_21_47,VGND,li1,27.3700,70.7200,0.000144
FILLER_21_16,VGND,li1,13.5700,70.7200,0.000159
FILLER_21_6,VGND,li1,8.5100,70.7200,0.000164
FILLER_21_3,VGND,li1,7.5900,70.7200,0.000164
FILLER_20_133,VGND,li1,66.9300,65.2800,0.000221
FILLER_20_130,VGND,li1,66.0100,65.2800,0.000221
FILLER_20_127,VGND,li1,64.6300,65.2800,0.000221
FILLER_20_82,VGND,li1,43.7000,65.2800,0.000178
FILLER_20_79,VGND,li1,42.5500,65.2800,0.000178
FILLER_20_56,VGND,li1,31.7400,65.2800,0.000126
FILLER_20_27,VGND,li1,18.1700,65.2800,0.000113
FILLER_20_3,VGND,li1,7.5900,65.2800,0.000123
FILLER_19_94,VGND,li1,48.9900,65.2800,0.000195
FILLER_19_91,VGND,li1,48.0700,65.2800,0.000195
FILLER_19_60,VGND,li1,33.5800,65.2800,0.000139
FILLER_19_57,VGND,li1,32.4300,65.2800,0.000126
FILLER_19_55,VGND,li1,31.0500,65.2800,0.000126
FILLER_19_33,VGND,li1,20.9300,65.2800,0.000110
FILLER_19_30,VGND,li1,20.0100,65.2800,0.000110
FILLER_19_27,VGND,li1,18.6300,65.2800,0.000113
FILLER_19_3,VGND,li1,7.5900,65.2800,0.000123
FILLER_18_88,VGND,li1,46.2300,59.8400,0.000183
FILLER_18_85,VGND,li1,45.3100,59.8400,0.000176
FILLER_18_82,VGND,li1,43.7000,59.8400,0.000167
FILLER_18_79,VGND,li1,42.5500,59.8400,0.000167
FILLER_18_69,VGND,li1,37.7200,59.8400,0.000147
FILLER_18_57,VGND,li1,32.4300,59.8400,0.000121
FILLER_18_48,VGND,li1,27.8300,59.8400,0.000096
FILLER_18_37,VGND,li1,23.0000,59.8400,0.000086
FILLER_18_19,VGND,li1,14.4900,59.8400,0.000093
FILLER_18_16,VGND,li1,13.5700,59.8400,0.000093
FILLER_18_6,VGND,li1,8.5100,59.8400,0.000094
FILLER_18_3,VGND,li1,7.5900,59.8400,0.000094
FILLER_17_131,VGND,li1,66.4700,59.8400,0.000213
FILLER_17_128,VGND,li1,65.0900,59.8400,0.000213
FILLER_17_116,VGND,li1,59.5700,59.8400,0.000210
FILLER_17_113,VGND,li1,58.1900,59.8400,0.000207
FILLER_17_87,VGND,li1,45.7700,59.8400,0.000176
FILLER_17_84,VGND,li1,44.8500,59.8400,0.000176
FILLER_17_81,VGND,li1,43.4700,59.8400,0.000167
FILLER_17_78,VGND,li1,42.0900,59.8400,0.000167
FILLER_17_47,VGND,li1,27.3700,59.8400,0.000096
FILLER_17_44,VGND,li1,26.4500,59.8400,0.000082
FILLER_17_26,VGND,li1,17.9400,59.8400,0.000091
FILLER_17_9,VGND,li1,9.8900,59.8400,0.000094
FILLER_17_6,VGND,li1,8.9700,59.8400,0.000094
FILLER_17_3,VGND,li1,7.5900,59.8400,0.000094
FILLER_16_131,VGND,li1,66.4700,54.4000,0.000332
FILLER_16_128,VGND,li1,65.0900,54.4000,0.000332
FILLER_16_97,VGND,li1,50.8300,54.4000,0.000295
FILLER_16_94,VGND,li1,49.4500,54.4000,0.000279
FILLER_16_91,VGND,li1,48.0700,54.4000,0.000279
FILLER_16_88,VGND,li1,46.6900,54.4000,0.000269
FILLER_16_85,VGND,li1,45.3100,54.4000,0.000258
FILLER_16_81,VGND,li1,43.4700,54.4000,0.000245
FILLER_16_78,VGND,li1,42.0900,54.4000,0.000245
FILLER_16_75,VGND,li1,40.7100,54.4000,0.000228
FILLER_16_72,VGND,li1,39.3300,54.4000,0.000228
FILLER_16_69,VGND,li1,37.9500,54.4000,0.000212
FILLER_16_27,VGND,li1,18.1700,54.4000,0.000136
FILLER_16_24,VGND,li1,17.2500,54.4000,0.000136
FILLER_16_6,VGND,li1,8.5100,54.4000,0.000140
FILLER_16_3,VGND,li1,7.5900,54.4000,0.000140
FILLER_15_132,VGND,li1,66.7000,54.4000,0.000332
FILLER_15_129,VGND,li1,65.5500,54.4000,0.000332
FILLER_15_111,VGND,li1,56.8100,54.4000,0.000321
FILLER_15_108,VGND,li1,55.8900,54.4000,0.000316
FILLER_15_105,VGND,li1,54.5100,54.4000,0.000316
FILLER_15_93,VGND,li1,48.9900,54.4000,0.000279
FILLER_15_90,VGND,li1,47.6100,54.4000,0.000269
FILLER_15_87,VGND,li1,46.2300,54.4000,0.000269
FILLER_15_84,VGND,li1,44.8500,54.4000,0.000258
FILLER_15_81,VGND,li1,43.4700,54.4000,0.000245
FILLER_15_78,VGND,li1,42.0900,54.4000,0.000245
FILLER_15_75,VGND,li1,40.7100,54.4000,0.000228
FILLER_15_72,VGND,li1,39.3300,54.4000,0.000228
FILLER_15_69,VGND,li1,37.9500,54.4000,0.000212
FILLER_15_66,VGND,li1,36.5700,54.4000,0.000212
FILLER_15_63,VGND,li1,35.1900,54.4000,0.000196
FILLER_15_60,VGND,li1,33.8100,54.4000,0.000196
FILLER_15_57,VGND,li1,32.4300,54.4000,0.000181
FILLER_15_47,VGND,li1,27.3700,54.4000,0.000148
FILLER_15_36,VGND,li1,22.5400,54.4000,0.000126
FILLER_15_3,VGND,li1,7.5900,54.4000,0.000140
FILLER_14_132,VGND,li1,66.7000,48.9600,0.000321
FILLER_14_123,VGND,li1,62.3300,48.9600,0.000321
FILLER_14_114,VGND,li1,58.1900,48.9600,0.000313
FILLER_14_111,VGND,li1,57.2700,48.9600,0.000308
FILLER_14_88,VGND,li1,46.4600,48.9600,0.000276
FILLER_14_85,VGND,li1,45.3100,48.9600,0.000265
FILLER_14_82,VGND,li1,43.7000,48.9600,0.000256
