Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_22_124,VPWR,li1,63.0200,73.4400,1.799775
FILLER_22_113,VPWR,li1,58.1900,73.4400,1.799778
FILLER_22_111,VPWR,li1,56.8100,73.4400,1.799779
FILLER_22_57,VPWR,li1,32.4300,73.4400,1.799868
FILLER_22_53,VPWR,li1,30.5900,73.4400,1.799880
FILLER_22_50,VPWR,li1,29.2100,73.4400,1.799880
FILLER_22_32,VPWR,li1,20.4700,73.4400,1.799926
FILLER_22_29,VPWR,li1,19.5500,73.4400,1.799923
FILLER_22_27,VPWR,li1,18.1700,73.4400,1.799923
FILLER_21_131,VPWR,li1,66.4700,68.0000,1.799768
FILLER_21_128,VPWR,li1,65.0900,68.0000,1.799768
FILLER_21_116,VPWR,li1,59.5700,68.0000,1.799768
FILLER_21_113,VPWR,li1,58.1900,68.0000,1.799771
FILLER_21_111,VPWR,li1,56.8100,68.0000,1.799771
FILLER_21_108,VPWR,li1,55.8900,68.0000,1.799774
FILLER_21_105,VPWR,li1,54.5100,68.0000,1.799774
FILLER_21_87,VPWR,li1,45.7700,68.0000,1.799790
FILLER_21_84,VPWR,li1,44.8500,68.0000,1.799790
FILLER_21_73,VPWR,li1,39.5600,68.0000,1.799801
FILLER_21_63,VPWR,li1,34.7300,68.0000,1.799819
FILLER_21_60,VPWR,li1,33.8100,68.0000,1.799819
FILLER_21_57,VPWR,li1,32.4300,68.0000,1.799827
FILLER_21_47,VPWR,li1,27.3700,68.0000,1.799848
FILLER_21_16,VPWR,li1,13.5700,68.0000,1.799881
FILLER_21_6,VPWR,li1,8.5100,68.0000,1.799881
FILLER_21_3,VPWR,li1,7.5900,68.0000,1.799881
FILLER_20_133,VPWR,li1,66.9300,68.0000,1.799768
FILLER_20_130,VPWR,li1,66.0100,68.0000,1.799768
FILLER_20_127,VPWR,li1,64.6300,68.0000,1.799768
FILLER_20_82,VPWR,li1,43.7000,68.0000,1.799795
FILLER_20_79,VPWR,li1,42.5500,68.0000,1.799795
FILLER_20_56,VPWR,li1,31.7400,68.0000,1.799827
FILLER_20_27,VPWR,li1,18.1700,68.0000,1.799887
FILLER_20_3,VPWR,li1,7.5900,68.0000,1.799881
FILLER_19_94,VPWR,li1,48.9900,62.5600,1.799811
FILLER_19_91,VPWR,li1,48.0700,62.5600,1.799811
FILLER_19_60,VPWR,li1,33.5800,62.5600,1.799869
FILLER_19_57,VPWR,li1,32.4300,62.5600,1.799869
FILLER_19_55,VPWR,li1,31.0500,62.5600,1.799880
FILLER_19_33,VPWR,li1,20.9300,62.5600,1.799929
FILLER_19_30,VPWR,li1,20.0100,62.5600,1.799927
FILLER_19_27,VPWR,li1,18.6300,62.5600,1.799927
FILLER_19_3,VPWR,li1,7.5900,62.5600,1.799920
FILLER_18_88,VPWR,li1,46.2300,62.5600,1.799816
FILLER_18_85,VPWR,li1,45.3100,62.5600,1.799822
FILLER_18_82,VPWR,li1,43.7000,62.5600,1.799827
FILLER_18_79,VPWR,li1,42.5500,62.5600,1.799827
FILLER_18_69,VPWR,li1,37.7200,62.5600,1.799849
FILLER_18_57,VPWR,li1,32.4300,62.5600,1.799869
FILLER_18_48,VPWR,li1,27.8300,62.5600,1.799890
FILLER_18_37,VPWR,li1,23.0000,62.5600,1.799916
